RankinBoxOffice,TitleinBoxOffice,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
42,Boo! A Madea Halloween,Boo! A Madea Halloween,2016,tt5325452,4.6,"5,402",movie,http://www.boo.movie/,Tyler Perry,103 min,True,21 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '21%'}| {'Source': 'Metacritic'| 'Value': '30/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTE2MTM0NF5BMl5BanBnXkFtZTgwNjE5MTIxMDI@._V1_SX300.jpg,"Madea winds up in the middle of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls and zombies while keeping a watchful eye on a group of misbehaving teens.",30,English,Comedy| Horror,Tyler Perry,31 Jan 2017,"Hong Kong, USA","$73,159,525",5 nominations.,Tyler Perry| Cassi Davis| Patrice Lovely| Bella Thorne
44,10 Cloverfield Lane,10 Cloverfield Lane,2016,tt1179933,7.2,"211,910",movie,http://www.10cloverfieldlane.com/,Josh Campbell (screenplay by)| Matthew Stuecken (screenplay by)| Damien Chazelle (screenplay by)| Josh Campbell (story by)| Matthew Stuecken (story by),104 min,True,11 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '90%'}| {'Source': 'Metacritic'| 'Value': '76/100'}],PG-13,Bad Robot Productions,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SX300.jpg,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",76,English,Drama| Horror| Mystery,Dan Trachtenberg,14 Jun 2016,USA,"$59,481,553",11 wins & 45 nominations.,John Goodman| Mary Elizabeth Winstead| John Gallagher Jr.| Douglas M. Griffin
46,Hacksaw Ridge,Hacksaw Ridge,2016,tt2119532,8.2,"275,485",movie,http://www.hacksawridge.movie/,Robert Schenkkan (screenplay by)| Andrew Knight (screenplay by),139 min,True,04 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '86%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],R,Summit Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",71,"English, Japanese",Biography| Drama| History,Mel Gibson,21 Feb 2017,"Australia, USA","$67,115,062",Won 2 Oscars. Another 41 wins & 107 nominations.,Andrew Garfield| Richard Pyros| Jacob Warner| Milo Gibson
48,Now You See Me 2,Now You See Me 2,2016,tt3110958,6.5,"174,499",movie,http://www.nowyouseeme.movie/,Ed Solomon (screenplay by)| Ed Solomon (story by)| Peter Chiarelli (story by)| Boaz Yakin (based on characters created by)| Edward Ricourt (based on characters created by),129 min,True,10 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '33%'}| {'Source': 'Metacritic'| 'Value': '46/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ0NDgwODQ3NV5BMl5BanBnXkFtZTgwOTYxNjc2ODE@._V1_SX300.jpg,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",46,"English, Mandarin, Cantonese",Action| Adventure| Comedy,Jon M. Chu,06 Sep 2016,"France, USA","$65,030,563",4 nominations.,Jesse Eisenberg| Mark Ruffalo| Woody Harrelson| Dave Franco
50,The Boss,The Boss,2016,tt2702724,5.4,"31,954",movie,http://www.thebossfilm.com/,Melissa McCarthy| Ben Falcone| Steve Mallory,99 min,True,08 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '23%'}| {'Source': 'Metacritic'| 'Value': '40/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzNTUwNDU0OV5BMl5BanBnXkFtZTgwNzU5NTAwODE@._V1_SX300.jpg,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",40,English,Comedy,Ben Falcone,26 Jul 2016,USA,"$54,489,847",3 nominations.,Melissa McCarthy| Kristen Bell| Peter Dinklage| Ella Anderson
52,Miracles from Heaven,Miracles from Heaven,2016,tt4257926,7.0,"13,680",movie,http://www.miraclesfromheaven-movie.com/,Christy Beam (book)| Randy Brown (screenplay),109 min,True,16 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '43%'}| {'Source': 'Metacritic'| 'Value': '44/100'}],PG,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjkyOTI5NzgxMl5BMl5BanBnXkFtZTgwNjg4MzQzNzE@._V1_SX300.jpg,A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident.,44,English,Biography| Drama| Family,Patricia Riggen,12 Jul 2016,USA,N/A,1 win & 2 nominations.,Jennifer Garner| Kylie Rogers| Martin Henderson| Brighton Sharbino
54,Why Him?,Why Him?,2016,tt4501244,6.2,"66,652",movie,http://www.foxmovies.com/movies/why-him,John Hamburg (screenplay by)| Ian Helfer (screenplay by)| Jonah Hill (story by)| John Hamburg (story by)| Ian Helfer (story by),111 min,True,23 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '40%'}| {'Source': 'Metacritic'| 'Value': '39/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BNDlkMDQ1NzUtNGE3OC00NmUwLWI0NjAtNDJmODUzY2NhOGIzL2ltYWdlXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SX300.jpg,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,39,"English, Khmer",Comedy,John Hamburg,28 Mar 2017,"USA, Cambodia","$60,312,925",N/A,Zoey Deutch| James Franco| Tangie Ambrose| Cedric the Entertainer
56,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016,tt3393786,6.1,"94,638",movie,http://www.ReacherMovie.com,Richard Wenk (screenplay)| Edward Zwick (screenplay)| Marshall Herskovitz (screenplay)| Lee Child (book),118 min,True,21 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '38%'}| {'Source': 'Metacritic'| 'Value': '47/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BODQ3ODQ3NDI4NV5BMl5BanBnXkFtZTgwMDY1Mzk5OTE@._V1_SX300.jpg,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",47,"English, Ukrainian",Action| Adventure| Crime,Edward Zwick,31 Jan 2017,"China, USA","$58,676,235",N/A,Tom Cruise| Cobie Smulders| Aldis Hodge| Danika Yarosh
58,Me Before You,Me Before You,2016,tt2674426,7.4,"130,233",movie,http://mebeforeyoumovie.com,Jojo Moyes (based on the novel by)| Jojo Moyes (screenplay by),106 min,True,03 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '57%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@._V1_SX300.jpg,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,51,"English, French",Drama| Romance,Thea Sharrock,30 Aug 2016,"UK, USA","$56,228,651",5 wins & 6 nominations.,Sam Claflin| Vanessa Kirby| Emilia Clarke| Eileen Dunwoodie
60,Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,2016,tt4438848,5.7,"85,160",movie,http://www.neighbors-movie.com/,Andrew Jay Cohen| Brendan O'Brien| Nicholas Stoller| Evan Goldberg| Seth Rogen| Andrew Jay Cohen (based on characters created by)| Brendan O'Brien (based on characters created by),92 min,True,20 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '62%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzUxMDUzN15BMl5BanBnXkFtZTgwNzI2MTY4ODE@._V1_SX300.jpg,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",58,English,Comedy,Nicholas Stoller,20 Sep 2016,USA,N/A,3 wins & 4 nominations.,Seth Rogen| Zac Efron| Rose Byrne| Chloë Grace Moretz
62,Office Christmas Party,Office Christmas Party,2016,tt1711525,5.8,"38,251",movie,N/A,Justin Malen (screenplay)| Laura Solon (screenplay)| Dan Mazer (screenplay)| Jon Lucas (story)| Scott Moore (story)| Timothy Dowling (story),105 min,True,09 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '41%'}| {'Source': 'Metacritic'| 'Value': '42/100'}],R,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNTI2MDE5MjQ3MV5BMl5BanBnXkFtZTgwNjA0MTUzMDI@._V1_SX300.jpg,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",42,English,Comedy,Josh Gordon| Will Speck,04 Apr 2017,USA,"$54,730,514",1 win & 1 nomination.,Jason Bateman| Olivia Munn| T.J. Miller| Jennifer Aniston
64,Barbershop: The Next Cut,Barbershop: The Next Cut,2016,tt3628584,5.9,"11,014",movie,http://www.barbershopmovie.com,Kenya Barris| Tracy Oliver| Mark Brown (characters),111 min,True,15 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '90%'}| {'Source': 'Metacritic'| 'Value': '67/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUxMzM5MjIxNF5BMl5BanBnXkFtZTgwMDk1NzMzNzE@._V1_SX300.jpg,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.",67,English,Comedy| Drama,Malcolm D. Lee,26 Jul 2016,USA,"$54,014,580",1 win & 3 nominations.,Ice Cube| Cedric the Entertainer| Regina Hall| Sean Patrick Thomas
66,The Huntsman: Winter's War,The Huntsman: Winter's War,2016,tt2381991,6.1,"72,363",movie,https://www.facebook.com/thehuntsmanmovie,Evan Spiliotopoulos| Craig Mazin| Evan Daugherty (characters),114 min,True,22 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '17%'}| {'Source': 'Metacritic'| 'Value': '35/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMmI5ZjBjZmMtNTQwOC00YWJjLThkNmUtOTY2ZDkwMmI2ZmU4XkEyXkFqcGdeQXVyMTQ1ODEyNjA@._V1_SX300.jpg,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",35,English,Action| Adventure| Drama,Cedric Nicolas-Troyan,23 Aug 2016,USA,"$46,445,229",16 nominations.,Chris Hemsworth| Charlize Theron| Jessica Chastain| Emily Blunt
68,Manchester by the Sea,Manchester by the Sea,2016,tt4034228,7.9,"164,395",movie,http://manchesterbytheseathemovie.com/,Kenneth Lonergan,137 min,True,16 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '95%'}| {'Source': 'Metacritic'| 'Value': '96/100'}],R,Amazon Studios,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_SX300.jpg,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,96,English,Drama,Kenneth Lonergan,21 Feb 2017,USA,"$47,695,120",Won 2 Oscars. Another 113 wins & 239 nominations.,Casey Affleck| Ben O'Brien| Kyle Chandler| Richard Donelly
70,How to Be Single,How to Be Single,2016,tt1292566,6.1,"64,530",movie,http://howtobesinglemovie.com/,Abby Kohn (screenplay)| Marc Silverstein (screenplay)| Dana Fox (screenplay)| Abby Kohn (screen story)| Marc Silverstein (screen story)| Liz Tuccillo (book),110 min,True,12 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '47%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4MDMwMzUwNF5BMl5BanBnXkFtZTgwMDgyNzkyNzE@._V1_SX300.jpg,A group of young adults navigate love and relationships in New York City.,51,English,Comedy| Romance,Christian Ditter,24 May 2016,USA,N/A,2 nominations.,Dakota Johnson| Rebel Wilson| Leslie Mann| Damon Wayans Jr.
72,War Dogs,War Dogs,2016,tt2005151,7.1,"126,667",movie,http://www.wardogsthemovie.com/,"Stephen Chin (screenplay)| Todd Phillips (screenplay)| Jason Smilovic (screenplay)| Guy Lawson (Rolling Stone article ""Arms and the Dudes"")",114 min,True,19 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '60%'}| {'Source': 'Metacritic'| 'Value': '57/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzQ0NzM4MV5BMl5BanBnXkFtZTgwMDI0ODM2OTE@._V1_SX300.jpg,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",57,"English, Arabic, Albanian, Romanian",Comedy| Crime| Drama,Todd Phillips,22 Nov 2016,"USA, Cambodia","$43,017,433",Nominated for 1 Golden Globe. Another 2 nominations.,Miles Teller| Steve Lantz| Gregg Weiner| David Packouz
74,Money Monster,Money Monster,2016,tt2241351,6.5,"74,012",movie,http://www.sonypictures.com/movies/moneymonster/,Jamie Linden (screenplay)| Alan DiFiore (screenplay)| Jim Kouf (screenplay)| Alan DiFiore (story)| Jim Kouf (story),98 min,True,13 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '57%'}| {'Source': 'Metacritic'| 'Value': '55/100'}],R,Smokehouse Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMjU1NDUwMl5BMl5BanBnXkFtZTgwODg1NjY0ODE@._V1_SX300.jpg,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,55,"English, Korean, Icelandic",Crime| Drama| Thriller,Jodie Foster,06 Sep 2016,USA,N/A,2 nominations.,George Clooney| Julia Roberts| Jack O'Connell| Dominic West
76,Nerve,Nerve,2016,tt3531824,6.6,"82,648",movie,http://www.playnerve.com/,Jeanne Ryan (novel)| Jessica Sharzer (screenplay),96 min,True,27 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '66%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,Keep Your Head,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzOTg1OTM4NV5BMl5BanBnXkFtZTgwMTg2Mjg0OTE@._V1_SX300.jpg,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",58,English,Adventure| Crime| Mystery,Henry Joost| Ariel Schulman,25 Oct 2016,USA,"$38,562,379",5 nominations.,Emma Roberts| Dave Franco| Emily Meade| Miles Heizer
78,The Nice Guys,The Nice Guys,2016,tt3799694,7.4,"196,341",movie,http://www.theniceguysmovie.com,Shane Black| Anthony Bagarozzi,116 min,True,20 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '92%'}| {'Source': 'Metacritic'| 'Value': '70/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjcwNDA5MDYyNl5BMl5BanBnXkFtZTgwNjg0NDkzNzE@._V1_SX300.jpg,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",70,English,Comedy| Crime| Drama,Shane Black,23 Aug 2016,USA,"$32,261,515",8 wins & 32 nominations.,Russell Crowe| Ryan Gosling| Angourie Rice| Matt Bomer
80,Dirty Grandpa,Dirty Grandpa,2016,tt1860213,6.0,"84,106",movie,N/A,John Phillips,102 min,True,22 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '11%'}| {'Source': 'Metacritic'| 'Value': '21/100'}],R,Lionsgate Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",21,English,Comedy,Dan Mazer,17 May 2016,USA,"$34,690,808",2 wins & 11 nominations.,Robert De Niro| Zac Efron| Zoey Deutch| Aubrey Plaza
82,The 5th Wave,The 5th Wave,2016,tt2304933,5.2,"77,668",movie,http://www.laquintaola.com.mx/,Susannah Grant (screenplay by)| Akiva Goldsman (screenplay by)| Jeff Pinkner (screenplay by)| Rick Yancey (based on the novel by),112 min,True,22 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '16%'}| {'Source': 'Metacritic'| 'Value': '33/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_SX300.jpg,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",33,English,Action| Adventure| Sci-Fi,J Blakeson,03 May 2016,USA,N/A,1 nomination.,Chloë Grace Moretz| Matthew Zuk| Gabriela Lopez| Bailey Anne Borders
84,Mother's Day,Mother's Day,2016,tt4824302,5.6,"22,844",movie,http://www.seemothersday.com/,Anya Kochoff (screenplay)| Matthew Walker (screenplay)| Tom Hines (screenplay)| Lily Hollander (story)| Matthew Walker (story)| Tom Hines (story)| Garry Marshall (story),118 min,True,29 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '6%'}| {'Source': 'Metacritic'| 'Value': '18/100'}],PG-13,Open Road Films,https://images-na.ssl-images-amazon.com/images/M/MV5BODYzMjc5NDEzNF5BMl5BanBnXkFtZTgwMzI3ODcyODE@._V1_SX300.jpg,Three generations come together in the week leading up to Mother's Day.,18,English,Comedy| Drama,Garry Marshall,02 Aug 2016,USA,"$29,149,230",1 win & 5 nominations.,Jennifer Aniston| Timothy Olyphant| Shay Mitchell| Caleb Brown
86,Collateral Beauty,Collateral Beauty,2016,tt4682786,6.8,"58,574",movie,N/A,Allan Loeb,97 min,True,16 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '14%'}| {'Source': 'Metacritic'| 'Value': '23/100'}],PG-13,New Line Cinema,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODE4MTY2NV5BMl5BanBnXkFtZTgwMzM2NzEzMDI@._V1_SX300.jpg,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",23,English,Drama| Romance,David Frankel,14 Mar 2017,USA,"$30,982,955",1 win & 3 nominations.,Will Smith| Edward Norton| Kate Winslet| Michael Peña
88,When the Bough Breaks,When the Bough Breaks,2016,tt1389139,4.9,"3,573",movie,http://www.whentheboughbreaks-movie.com/site/,Jack Olsen (screenplay)| Jack Olsen,107 min,True,09 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '11%'}| {'Source': 'Metacritic'| 'Value': '28/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MTk3Mzk4NV5BMl5BanBnXkFtZTgwMDgzNDUyOTE@._V1_SX300.jpg,A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.,28,English,Crime| Drama| Horror,Jon Cassar,27 Dec 2016,USA,"$29,740,655",1 nomination.,Morris Chestnut| Regina Hall| Romany Malco| Michael Kenneth Williams
90,Moonlight (2016),error
92,Florence Foster Jenkins,Florence Foster Jenkins,2016,tt4136084,6.9,"36,410",movie,N/A,Nicholas Martin,111 min,True,12 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '87%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],PG-13,BBC Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0Mzc4MjMxMl5BMl5BanBnXkFtZTgwODIwNTQxODE@._V1_SX300.jpg,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",71,"English, German, Italian, Russian",Biography| Comedy| Drama,Stephen Frears,13 Dec 2016,UK,"$27,370,107",Nominated for 2 Oscars. Another 8 wins & 37 nominations.,Meryl Streep| Hugh Grant| Simon Helberg| Rebecca Ferguson
94,The Forest,The Forest,2016,tt3387542,4.8,"31,245",movie,N/A,Nick Antosca| Sarah Cornwell| Ben Ketai,93 min,True,08 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '9%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG-13,Gramercy Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMzQzNTc5OV5BMl5BanBnXkFtZTgwNDgyMTU2NzE@._V1_SX300.jpg,"A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.",34,"English, Japanese",Horror| Mystery| Thriller,Jason Zada,12 Apr 2016,USA,"$21,818,536",1 nomination.,Natalie Dormer| Eoin Macken| Stephanie Vogt| Osamu Tanpopo
96,The Witch,The Witch,2016,tt5092276,N/A,N/A,movie,http://thewitch-movie.com/,Kang Full (comic strip by),N/A,True,N/A,[{'Source': 'Rotten Tomatoes'| 'Value': '91%'}],N/A,A24 Films,N/A,N/A,N/A,English,Animation,Kim Daewoo,17 May 2016,"China, South Korea","$19,239,494",N/A,N/A
98,Kevin Hart: What Now?,Kevin Hart: What Now?,2016,tt4669186,5.8,"6,325",movie,http://www.kevinhartwhatnow.com/,"Kevin Hart| Joey Wells| Harry Ratchford| Kevin Hart (""Casino"" segment story by)| Brian Buccellato (""Casino"" segment written by)",96 min,True,14 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '77%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI2MDk3OTA5N15BMl5BanBnXkFtZTgwMDU1MDgxMDI@._V1_SX300.jpg,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",60,English,Documentary| Comedy,Leslie Small| Tim Story,10 Jan 2017,USA,"$23,564,630",N/A,Kevin Hart| Halle Berry| Don Cheadle| Ed Helms
100,Snowden,Snowden,2016,tt3774114,7.3,"93,907",movie,http://snowdenfilm.com/,Kieran Fitzgerald (screenplay)| Oliver Stone (screenplay)| Anatoly Kucherena (book)| Luke Harding (book),134 min,True,16 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '61%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],R,Open Road Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzYzNzgzOF5BMl5BanBnXkFtZTgwOTg4NzQ4OTE@._V1_SX300.jpg,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",58,English,Biography| Drama| Thriller,Oliver Stone,27 Dec 2016,"France, Germany, USA","$21,562,346",3 wins & 7 nominations.,Melissa Leo| Zachary Quinto| Joseph Gordon-Levitt| Jaymes Butler
101,Mechanic: Resurrection,Mechanic: Resurrection,2016,tt3522806,5.7,"54,892",movie,http://www.mechanic.movie/,Lewis John Carlino (based upon the characters created by)| Philip Shelby (story by)| Philip Shelby (screenplay by)| Tony Mosher (screenplay by),98 min,True,26 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '31%'}| {'Source': 'Metacritic'| 'Value': '38/100'}],R,Summit Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_SX300.jpg,"Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents.",38,"English, Portuguese, Thai, Bulgarian",Action| Adventure| Crime,Dennis Gansel,22 Nov 2016,"France, USA","$21,203,260",1 nomination.,Jason Statham| Jessica Alba| Tommy Lee Jones| Michelle Yeoh
103,Blair Witch,Blair Witch,2016,tt1540011,5.0,"30,734",movie,http://www.blairwitch.com/,Simon Barrett,89 min,True,16 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '35%'}| {'Source': 'Metacritic'| 'Value': '47/100'}],R,Vertigo Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0NTEyMjA3NV5BMl5BanBnXkFtZTgwODk5OTU4OTE@._V1_SX300.jpg,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.",47,English,Horror| Thriller,Adam Wingard,03 Jan 2017,"Canada, USA","$20,747,013",6 nominations.,James Allen McCune| Callie Hernandez| Corbin Reid| Brandon Scott
