,rank,name,name_link,budget,studio,total_gross,total_thea,open_gross,open_thea,open_date,close_date,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
51,4,The Secret Life of Pets,http://www.boxofficemojo.com//movies/?id=illumination2015.htm,$75 million,Uni.,368384330,4381,104352905.0,4370.0,7/8,12/29,The Secret Life of Pets,2016,tt2709768,6.6,"136,072",movie,http://www.thesecretlifeofpets.com/,Cinco Paul| Ken Daurio| Brian Lynch,87 min,True,08 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '75%'}| {'Source': 'Metacritic'| 'Value': '61/100'}],PG,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",61.0,English,Animation| Adventure| Comedy,Chris Renaud| Yarrow Cheney(co-director),06 Dec 2016,"Japan, USA","$368,305,960",4 wins & 15 nominations.,Louis C.K.| Eric Stonestreet| Kevin Hart| Jenny Slate
52,6,Deadpool,http://www.boxofficemojo.com//movies/?id=deadpool2016.htm,$58 million,Fox,363070709,3856,132434639.0,3558.0,2/12,6/16,Deadpool,2016,tt1431045,8.0,"677,456",movie,http://www.foxmovies.com/deadpool,Rhett Reese| Paul Wernick,108 min,True,12 Feb 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '84%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_SX300.jpg,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,65.0,English,Action| Adventure| Comedy,Tim Miller,10 May 2016,USA,"$328,674,489",Nominated for 2 Golden Globes. Another 27 wins & 72 nominations.,Ryan Reynolds| Karan Soni| Ed Skrein| Michael Benyaer
53,8,Batman v Superman: Dawn of Justice,http://www.boxofficemojo.com//movies/?id=superman2015.htm,$250 million,WB,330360194,4256,166007347.0,4242.0,3/25,6/16,Batman v Superman: Dawn of Justice,2016,tt2975590,6.6,"505,377",movie,http://www.facebook.com/batmanvsuperman,Chris Terrio| David S. Goyer| Bob Kane (Batman created by)| Bill Finger (Batman created by)| Jerry Siegel (Superman created by)| Joe Shuster (Superman created by),151 min,True,25 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '27%'}| {'Source': 'Metacritic'| 'Value': '44/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",44.0,English,Action| Adventure| Sci-Fi,Zack Snyder,19 Jul 2016,USA,"$293,792,936",13 wins & 30 nominations.,Ben Affleck| Henry Cavill| Amy Adams| Jesse Eisenberg
54,10,Sing,http://www.boxofficemojo.com//movies/?id=illumination2016.htm,$75 million,Uni.,270329045,4029,35258145.0,4022.0,12/21,5/4,Sing,2016,tt3470600,7.1,"83,925",movie,http://www.singmovie.com/,Garth Jennings,108 min,True,21 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '73%'}| {'Source': 'Metacritic'| 'Value': '59/100'}],PG,Illumination Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",59.0,"English, Japanese, Ukrainian",Animation| Comedy| Family,Garth Jennings| Christophe Lourdelet(co-director),21 Mar 2017,"Japan, USA","$270,322,940",Nominated for 2 Golden Globes. Another 1 win & 20 nominations.,Matthew McConaughey| Reese Witherspoon| Seth MacFarlane| Scarlett Johansson
55,12,Fantastic Beasts and Where To Find Them,http://www.boxofficemojo.com//movies/?id=fantasticbeasts.htm,$180 million,WB,234037575,4144,74403387.0,4144.0,11/18,3/30,Fantastic Beasts and Where to Find Them,2016,tt3183660,7.4,"275,755",movie,http://www.fantasticbeasts.com/,J.K. Rowling,133 min,True,18 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '74%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,66.0,"English, Khmer",Adventure| Family| Fantasy,David Yates,28 Mar 2017,"UK, USA","$234,018,657",Won 1 Oscar. Another 14 wins & 50 nominations.,Eddie Redmayne| Sam Redford| Scott Goldman| Tim Bentinck
56,14,The Revenant,http://www.boxofficemojo.com//movies/?id=revenant.htm,$135 million,Fox,183637894,3711,474560.0,4.0,1/8,5/26,The Revenant,2015,tt1663202,8.0,"530,991",movie,http://www.foxmovies.com/movies/the-revenant,Mark L. Smith (screenplay)| Alejandro González Iñárritu (screenplay)| Michael Punke (based in part on the novel by),156 min,True,08 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '80%'}| {'Source': 'Metacritic'| 'Value': '76/100'}],R,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,76.0,"English, Pawnee, French",Adventure| Drama| History,Alejandro González Iñárritu,19 Apr 2016,"USA, Hong Kong, Taiwan",N/A,Won 3 Oscars. Another 86 wins & 181 nominations.,Leonardo DiCaprio| Tom Hardy| Domhnall Gleeson| Will Poulter
57,16,Star Trek Beyond,http://www.boxofficemojo.com//movies/?id=startrek2016.htm,$185 million,Par.,158848340,3928,59253211.0,3928.0,7/22,10/20,Star Trek: Beyond,2016,tt2660888,7.1,"182,691",movie,http://www.startrekmovie.com/,"Simon Pegg| Doug Jung| Gene Roddenberry (based upon ""Star Trek"" created by)",122 min,True,22 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '84%'}| {'Source': 'Metacritic'| 'Value': '68/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZDRiOGE5ZTctOWIxOS00MWQwLThlMDYtNWIwMDQwNzBjZDY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"The U.S.S. Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",68.0,English,Action| Adventure| Sci-Fi,Justin Lin,01 Nov 2016,"USA, Hong Kong, China","$158,804,470",Nominated for 1 Oscar. Another 2 wins & 26 nominations.,Chris Pine| Zachary Quinto| Karl Urban| Zoe Saldana
58,18,Trolls,http://www.boxofficemojo.com//movies/?id=trolls.htm,$125 million,Fox,153707064,4066,46581142.0,4060.0,11/4,3/30,Trolls,2016,tt1679335,6.5,"50,970",movie,http://www.dreamworks.com/trolls/,Jonathan Aibel (screenplay by)| Glenn Berger (screenplay by)| Erica Rivinoja (story by)| Thomas Dam (based on the Good Luck Trolls created by),92 min,True,04 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '74%'}| {'Source': 'Metacritic'| 'Value': '56/100'}],PG,DreamWorks Animation,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_SX300.jpg,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",56.0,English,Animation| Adventure| Comedy,Mike Mitchell| Walt Dohrn(co-director),07 Feb 2017,USA,"$153,694,574",Nominated for 1 Oscar. Another 3 wins & 33 nominations.,Anna Kendrick| Justin Timberlake| Zooey Deschanel| Christopher Mintz-Plasse
59,20,Kung Fu Panda 3,http://www.boxofficemojo.com//movies/?id=kungfupanda3.htm,$145 million,Fox,143528619,3987,41282042.0,3955.0,1/29,7/21,Kung Fu Panda 3,2016,tt2267968,7.1,"96,459",movie,https://www.facebook.com/kungfupanda,Jonathan Aibel| Glenn Berger,95 min,True,29 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '86%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],PG,DreamWorks Animation,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",66.0,"English, Mandarin",Animation| Action| Adventure,Alessandro Carloni| Jennifer Yuh Nelson,28 Jun 2016,"China, USA","$128,341,070",10 nominations.,Jack Black| Bryan Cranston| Dustin Hoffman| Angelina Jolie
60,22,Central Intelligence,http://www.boxofficemojo.com//movies/?id=centralintelligence.htm,$50 million,WB (NL),127440871,3508,35535250.0,3508.0,6/17,9/1,Central Intelligence,2016,tt1489889,6.3,"108,980",movie,http://www.centralintelligencemovie.com/,Ike Barinholtz (screenplay)| David Stassen (screenplay)| Rawson Marshall Thurber (screenplay)| Ike Barinholtz (story)| David Stassen (story),107 min,True,17 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '69%'}| {'Source': 'Metacritic'| 'Value': '52/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_SX300.jpg,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",52.0,English,Action| Comedy| Crime,Rawson Marshall Thurber,27 Sep 2016,USA,"$127,380,061",2 wins & 8 nominations.,Dwayne Johnson| Kevin Hart| Amy Ryan| Danielle Nicolet
61,24,Sully,http://www.boxofficemojo.com//movies/?id=sully.htm,$60 million,WB,125070033,3955,35028301.0,3525.0,9/9,1/26,Sully,2016,tt3263904,7.5,"161,323",movie,http://www.sully-movie.com/,"Todd Komarnicki| Chesley Sullenberger (based on the book ""Highest Duty"" by)| Jeffrey Zaslow (based on the book ""Highest Duty"" by)",96 min,True,09 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '85%'}| {'Source': 'Metacritic'| 'Value': '74/100'}],PG-13,Warner Bros.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MzQwMzY3Ml5BMl5BanBnXkFtZTgwOTA3MzEzOTE@._V1_SX300.jpg,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",74.0,English,Biography| Drama,Clint Eastwood,20 Dec 2016,USA,"$125,065,700",Nominated for 1 Oscar. Another 12 wins & 32 nominations.,Tom Hanks| Aaron Eckhart| Valerie Mahaffey| Delphi Harrington
62,26,The Angry Birds Movie,http://www.boxofficemojo.com//movies/?id=angrybirds.htm,$73 million,Sony,107509366,3932,38155177.0,3932.0,5/20,9/15,The Angry Birds Movie,2016,tt1985949,6.3,"60,146",movie,http://www.angrybirds-movie.com/en/,Jon Vitti (screenplay by)| Mikael Hed (story by)| Mikko Pöllä (story by)| John Cohen (story by),97 min,True,20 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '44%'}| {'Source': 'Metacritic'| 'Value': '43/100'}],PG,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",43.0,English,Animation| Action| Adventure,Clay Kaytis| Fergal Reilly,16 Aug 2016,"Finland, USA","$107,506,776",7 nominations.,Jason Sudeikis| Josh Gad| Danny McBride| Maya Rudolph
63,28,The Conjuring 2,http://www.boxofficemojo.com//movies/?id=conjuring2.htm,$40 million,WB (NL),102470008,3356,40406314.0,3343.0,6/10,8/25,The Conjuring 2,2016,tt3065204,7.4,"155,626",movie,http://www.theconjuring2.com/,Chad Hayes (screenplay by)| Carey W. Hayes (screenplay by)| James Wan (screenplay by)| David Leslie Johnson (screenplay by)| Chad Hayes (story by)| Carey W. Hayes (story by)| James Wan (story by)| Chad Hayes (based on characters created by)| Carey W. Hayes (based on characters created by),134 min,True,10 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '79%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZjU5OWVlN2EtODNlYy00MjhhLWI0MDUtMTA3MmQ5MGMwYTZmXkEyXkFqcGdeQXVyNjE5MTM4MzY@._V1_SX300.jpg,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,65.0,English,Horror| Mystery| Thriller,James Wan,13 Sep 2016,"Canada, USA","$102,461,593",3 wins & 13 nominations.,Patrick Wilson| Vera Farmiga| Madison Wolfe| Frances O'Connor
64,30,Passengers (2016),http://www.boxofficemojo.com//movies/?id=passengers2016.htm,$110 million,Sony,100014699,3478,14869736.0,3478.0,12/21,4/20,Passengers,2016,tt1355644,7.0,"246,037",movie,http://www.passengersmovie.com/,Jon Spaihts,116 min,True,21 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '30%'}| {'Source': 'Metacritic'| 'Value': '41/100'}],PG-13,Columbia Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MjU3MDIzOF5BMl5BanBnXkFtZTgwMjM2MzY2MDI@._V1_SX300.jpg,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",41.0,English,Drama| Sci-Fi| Thriller,Morten Tyldum,14 Mar 2017,USA,"$100,014,092",Nominated for 2 Oscars. Another 1 win & 9 nominations.,Jennifer Lawrence| Chris Pratt| Michael Sheen| Laurence Fishburne
65,32,The Magnificent Seven (2016),http://www.boxofficemojo.com//movies/?id=themagnificentseven.htm,$90 million,Sony,93432655,3696,34703397.0,3674.0,9/23,1/5,The Magnificent Seven,2016,tt2404435,6.9,"142,373",movie,N/A,Akira Kurosawa (based on the screenplay by)| Shinobu Hashimoto (based on the screenplay by)| Hideo Oguni (based on the screenplay by)| Nic Pizzolatto (screenplay)| Richard Wenk (screenplay),132 min,True,23 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '63%'}| {'Source': 'Metacritic'| 'Value': '54/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_SX300.jpg,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,54.0,"English, North American Indian, Spanish",Action| Adventure| Western,Antoine Fuqua,20 Dec 2016,USA,"$93,381,044",3 wins & 12 nominations.,Denzel Washington| Chris Pratt| Ethan Hawke| Vincent D'Onofrio
66,34,Don't Breathe,http://www.boxofficemojo.com//movies/?id=dontbreathe.htm,$9.9 million,SGem,89217875,3384,26411706.0,3051.0,8/26,12/22,Don't Breathe,2016,tt4160708,7.1,"143,840",movie,http://www.dontbreathe-movie.com/site/,Fede Alvarez| Rodo Sayagues,88 min,True,26 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '87%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],R,Ghost House Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BZGI5ZTU2M2YtZWY4MC00ZDFhLTliYTItZTk1NjdlN2NkMzg2XkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",71.0,"English, Ukrainian",Crime| Horror| Thriller,Fede Alvarez,29 Nov 2016,USA,"$89,210,468",5 wins & 22 nominations.,Stephen Lang| Jane Levy| Dylan Minnette| Daniel Zovatto
67,36,The Accountant,http://www.boxofficemojo.com//movies/?id=theaccountant.htm,$44 million,WB,86260045,3402,24710273.0,3332.0,10/14,1/12,The Accountant,2016,tt2140479,7.4,"194,880",movie,http://www.accountantmovie.com/,Bill Dubuque,128 min,True,14 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '52%'}| {'Source': 'Metacritic'| 'Value': '51/100'}],R,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNjFmN2UwYWEtMmNiNi00YTU5LThiM2YtMmU4YzYzYTA3YWFjXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",51.0,"English, Indonesian, French",Action| Crime| Drama,Gavin O'Connor,10 Jan 2017,USA,"$86,198,014",3 wins & 4 nominations.,Ben Affleck| Anna Kendrick| J.K. Simmons| Jon Bernthal
68,38,The Purge: Election Year,http://www.boxofficemojo.com//movies/?id=purge3.htm,$10 million,Uni.,79213375,2821,31515110.0,2796.0,7/1,10/13,The Purge: Election Year,2016,tt4094724,6.0,"61,352",movie,http://www.thepurgeelectionyear.com/,James DeMonaco,108 min,True,01 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '54%'}| {'Source': 'Metacritic'| 'Value': '55/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNzk2OTQ1OV5BMl5BanBnXkFtZTgwMTI2NjU5ODE@._V1_SX300.jpg,"Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",55.0,English,Action| Horror| Sci-Fi,James DeMonaco,04 Oct 2016,"USA, France",,6 nominations.,Frank Grillo| Elizabeth Mitchell| Mykelti Williamson| Joseph Julian Soria
69,40,Pete's Dragon (2016),http://www.boxofficemojo.com//movies/?id=petesdragon2016.htm,$65 million,BV,76233151,3702,21514095.0,3702.0,8/12,12/15,Pete's Dragon,2016,tt2788732,6.7,"41,684",movie,http://movies.disney.com/petes-dragon-2016,David Lowery (screenplay by)| Toby Halbrooks (screenplay by)| Malcolm Marmorstein (based on a screenplay by)| Seton I. Miller (based on a story by)| S.S. Field (based on a story by),102 min,True,12 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '87%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDYxNzYzOF5BMl5BanBnXkFtZTgwNzU1NzcwODE@._V1_SX300.jpg,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",71.0,English,Action| Adventure| Comedy,David Lowery,29 Nov 2016,USA,"$76,228,119",2 wins & 5 nominations.,Bryce Dallas Howard| Robert Redford| Oakes Fegley| Oona Laurence
70,42,Boo! A Madea Halloween,http://www.boxofficemojo.com//movies/?id=booamadeahalloween.htm,$20 million,LGF,73206343,2299,28501448.0,2260.0,10/21,12/22,Boo! A Madea Halloween,2016,tt5325452,4.6,"5,402",movie,http://www.boo.movie/,Tyler Perry,103 min,True,21 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '4.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '21%'}| {'Source': 'Metacritic'| 'Value': '30/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTE2MTM0NF5BMl5BanBnXkFtZTgwNjE5MTIxMDI@._V1_SX300.jpg,"Madea winds up in the middle of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls and zombies while keeping a watchful eye on a group of misbehaving teens.",30.0,English,Comedy| Horror,Tyler Perry,31 Jan 2017,"Hong Kong, USA","$73,159,525",5 nominations.,Tyler Perry| Cassi Davis| Patrice Lovely| Bella Thorne
71,44,10 Cloverfield Lane,http://www.boxofficemojo.com//movies/?id=badrobot2016.htm,,Par.,72082998,3427,24727437.0,3391.0,3/11,6/2,10 Cloverfield Lane,2016,tt1179933,7.2,"211,910",movie,http://www.10cloverfieldlane.com/,Josh Campbell (screenplay by)| Matthew Stuecken (screenplay by)| Damien Chazelle (screenplay by)| Josh Campbell (story by)| Matthew Stuecken (story by),104 min,True,11 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '90%'}| {'Source': 'Metacritic'| 'Value': '76/100'}],PG-13,Bad Robot Productions,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SX300.jpg,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",76.0,English,Drama| Horror| Mystery,Dan Trachtenberg,14 Jun 2016,USA,"$59,481,553",11 wins & 45 nominations.,John Goodman| Mary Elizabeth Winstead| John Gallagher Jr.| Douglas M. Griffin
72,46,Hacksaw Ridge,http://www.boxofficemojo.com//movies/?id=hacksawridge.htm,$40 million,LGF,67209615,2971,15190758.0,2886.0,11/4,3/9,Hacksaw Ridge,2016,tt2119532,8.2,"275,485",movie,http://www.hacksawridge.movie/,Robert Schenkkan (screenplay by)| Andrew Knight (screenplay by),139 min,True,04 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '86%'}| {'Source': 'Metacritic'| 'Value': '71/100'}],R,Summit Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",71.0,"English, Japanese",Biography| Drama| History,Mel Gibson,21 Feb 2017,"Australia, USA","$67,115,062",Won 2 Oscars. Another 41 wins & 107 nominations.,Andrew Garfield| Richard Pyros| Jacob Warner| Milo Gibson
73,48,Now You See Me 2,http://www.boxofficemojo.com//movies/?id=nowyouseeme2.htm,,LG/S,65075540,3232,22383146.0,3232.0,6/10,8/25,Now You See Me 2,2016,tt3110958,6.5,"174,499",movie,http://www.nowyouseeme.movie/,Ed Solomon (screenplay by)| Ed Solomon (story by)| Peter Chiarelli (story by)| Boaz Yakin (based on characters created by)| Edward Ricourt (based on characters created by),129 min,True,10 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '33%'}| {'Source': 'Metacritic'| 'Value': '46/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ0NDgwODQ3NV5BMl5BanBnXkFtZTgwOTYxNjc2ODE@._V1_SX300.jpg,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",46.0,"English, Mandarin, Cantonese",Action| Adventure| Comedy,Jon M. Chu,06 Sep 2016,"France, USA","$65,030,563",4 nominations.,Jesse Eisenberg| Mark Ruffalo| Woody Harrelson| Dave Franco
74,50,The Boss,http://www.boxofficemojo.com//movies/?id=michelledarnell.htm,$29 million,Uni.,63285885,3495,23586645.0,3480.0,4/8,8/4,The Boss,2016,tt2702724,5.4,"31,954",movie,http://www.thebossfilm.com/,Melissa McCarthy| Ben Falcone| Steve Mallory,99 min,True,08 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '23%'}| {'Source': 'Metacritic'| 'Value': '40/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzNTUwNDU0OV5BMl5BanBnXkFtZTgwNzU5NTAwODE@._V1_SX300.jpg,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",40.0,English,Comedy,Ben Falcone,26 Jul 2016,USA,"$54,489,847",3 nominations.,Melissa McCarthy| Kristen Bell| Peter Dinklage| Ella Anderson
75,52,Miracles from Heaven,http://www.boxofficemojo.com//movies/?id=miraclesfromheaven.htm,$13 million,TriS,61705123,3155,14812393.0,3047.0,3/16,7/21,Miracles from Heaven,2016,tt4257926,7.0,"13,680",movie,http://www.miraclesfromheaven-movie.com/,Christy Beam (book)| Randy Brown (screenplay),109 min,True,16 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '43%'}| {'Source': 'Metacritic'| 'Value': '44/100'}],PG,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjkyOTI5NzgxMl5BMl5BanBnXkFtZTgwNjg4MzQzNzE@._V1_SX300.jpg,A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident.,44.0,English,Biography| Drama| Family,Patricia Riggen,12 Jul 2016,USA,,1 win & 2 nominations.,Jennifer Garner| Kylie Rogers| Martin Henderson| Brighton Sharbino
